Timestamp,CurrentCount,MaxCapacity,OccupancyPercentage
2025-12-10 01:07:37,0,959,0.00
2025-12-11 13:37:05,73,959,7.61
2025-12-11 13:47:05,79,959,8.24
2025-12-11 13:57:06,84,959,8.76
2025-12-11 14:07:06,79,959,8.24
2025-12-11 14:30:00,78,959,8.13
2025-12-11 14:45:00,83,959,8.65
2025-12-11 15:00:00,92,959,9.59
2025-12-11 15:15:00,105,959,10.95
2025-12-11 15:30:00,109,959,11.37
2025-12-11 15:45:00,120,959,12.51
2025-12-11 16:00:00,144,959,15.02
2025-12-11 16:15:01,157,959,16.37
2025-12-11 16:30:00,171,959,17.83
2025-12-11 16:45:00,196,959,20.44
2025-12-11 17:00:00,236,959,24.61
2025-12-11 17:15:00,252,959,26.28
2025-12-11 17:30:00,278,959,28.99
2025-12-11 17:45:01,283,959,29.51
2025-12-11 18:00:00,318,959,33.16
2025-12-11 18:15:00,327,959,34.10
2025-12-11 18:30:00,315,959,32.85
2025-12-11 18:45:00,302,959,31.49
2025-12-11 19:00:00,326,959,33.99
2025-12-11 19:15:00,316,959,32.95
2025-12-11 19:30:00,299,959,31.18
2025-12-11 19:45:00,282,959,29.41
2025-12-11 20:00:00,306,959,31.91
2025-12-11 20:15:01,310,959,32.33
2025-12-11 20:30:01,280,959,29.20
2025-12-11 20:45:01,275,959,28.68
2025-12-11 21:00:01,305,959,31.80
2025-12-11 21:15:00,287,959,29.93
2025-12-11 21:30:01,252,959,26.28
2025-12-11 21:45:01,206,959,21.48
2025-12-11 22:00:01,161,959,16.79
2025-12-11 22:15:01,129,959,13.45
2025-12-11 22:30:01,103,959,10.74
2025-12-11 22:45:01,74,959,7.72
2025-12-11 23:00:01,41,959,4.28
2025-12-11 23:15:01,18,959,1.88
2025-12-11 23:30:01,18,959,1.88
2025-12-11 23:45:01,18,959,1.88
2025-12-12 00:00:01,18,959,1.88
